Sample_ID,Latitude,Longitude,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Mn_pct,P_pct,Ti_pct,Ag_ppm,As_ppm,Cu_ppm,Pb_ppm,Zn_ppm,Ni_ppm,Cr_ppm,Co_ppm,Mo_ppm,U_ppm,Th_ppm,V_ppm,Cluster
C355417,38.94021,-119.05178,-0.7844318504950196,-0.3243504188476481,1.9751685641626162,-0.6387103489388025,-0.27277053339972906,-0.20217043381393962,-0.18896087877123147,-0.5941911771236579,-0.1326761080525245,-0.18072043055968945,0.05737144331475449,-0.2339256537687681,-0.31615700924537693,-0.04866429492499331,-0.04872791935195721,0.03706619440118104,-0.1446898573929545,-0.20713526033478905,-0.06766408493950772,-0.21019358863905685,0.0
C360759,-22.2871,-68.8991,1.2749386081987248,-0.4597609558861024,-0.9206328431202262,2.3786635499802538,-0.5138797977610968,-0.22010988788258168,-0.16068214930343483,-0.16369573415199873,-0.14458580798608292,-0.18072043055968945,-0.21152084485143843,-0.23401424193293535,-0.33205987273286497,-0.05467452595128967,-0.04872791935195721,-0.10528569792629194,-0.11116217018968673,-0.18086592161089593,-0.01740543998931884,-0.3340504503973679,1.0
C360762,-21.0309,-68.74951,-0.742071382199104,-0.5564827680564269,-0.4582664499763702,-0.4927083860878804,-0.5600496568941248,-0.22010988788258168,-0.10412469036784153,-0.6802902657179898,-0.0387727047302369,-0.17361707200836105,0.05737144331475449,-0.23183750418482577,-0.33002135895763485,-0.05515360233744372,-0.04872791935195721,-0.10406262677502964,-0.14198601165075547,-0.2011567211769375,-0.054967164109986325,-0.46708189450814647,0.0
C360763,-24.7,29.3,-0.6638674407297214,-0.47910531832016734,0.9721151704181441,-0.6387103489388025,-0.39589015775447006,-0.22010988788258168,-0.16068214930343483,-0.6802902657179898,-0.14229548107578321,-0.18072043055968945,0.05737144331475449,-0.2337231665363858,-0.33164234581504676,-0.05284532520415599,-0.04494921170885221,-0.07450507395285745,-0.14252678079919529,0.41789383344059966,-0.06766408493950772,1.8173891112562577,0.0
C360769,62.74842,29.00282,2.1970934180251955,1.1071324012731545,-0.32498401272539246,-0.3953737441872657,3.225878792014161,-0.19021079776817829,-0.08998532563394321,0.5681465188998219,-0.14115031762063338,-0.1759848581921372,-0.25885374729422184,-0.22730685236027204,-0.2769831601912558,-0.05389058277394666,-0.04589388861962846,-0.10188827806167446,-0.13603755101791765,0.35267340626403737,-0.054967164109986325,-0.13220963864308322,1.0
C360780,32.10012,-110.06506,-0.3901536455868818,1.6681189118610367,-0.1958237127089809,-0.6387103489388025,0.537766993602316,0.2582755539478726,0.4331711695202948,0.39594834171115817,-0.14046321954754346,-0.18072043055968945,0.05737144331475449,-0.2341407964531743,0.28201306599995485,-0.053803477976464106,-0.04589388861962846,-0.042297533636283614,-0.14036370420543606,-0.020532371468513586,-0.020050631828802467,-0.3523996151023029,0.0
C360781,31.99229,-111.064199,0.8415584325558957,1.5520527372566473,0.0446342926407213,0.1886341072164227,-0.38050020471012747,0.07290119523857155,0.13624451010842997,1.6013355820318038,-0.12488899655750552,-0.17361707200836105,0.05737144331475449,-0.2337231665363858,-0.3042452118840925,-0.05397768757142922,-0.04211518097652346,-0.03360013878286283,0.11217548811595177,-0.03248944978421668,0.1307253030217642,-0.260653791577628,1.0
C360782,-34.0886,-70.4555,0.5222256715559163,-0.07287370720480442,-0.1958237127089809,0.4806380329182669,-0.04705122208270386,-0.20815025183682032,-0.10412469036784153,0.6542456074941536,-0.14321161183990308,-0.18072043055968945,0.05737144331475449,-0.23428000642543712,-0.3312370991006938,-0.05393413517268794,-0.04400453479807596,-0.074029435171811,-0.10629524785372851,-0.18285876799684642,-0.05919947105316012,0.2852338583941874,1.0
C360783,38.98351,-119.19408,0.8382999349946711,-0.3243504188476481,-0.8052130005523692,0.1399667862661153,-0.12913097165253123,-0.22010988788258168,-0.06170659616614655,0.6111960631969877,-0.14366967722196303,-0.18072043055968945,-0.23367667152678384,-0.23400158648091146,-0.3316177854081163,-0.05436965916010072,-0.04589388861962846,-0.0995100841564422,-0.14198601165075547,-0.20006971405732815,-0.05443812574208959,-0.26524108275386177,1.0
C360784,34.584346,-113.21008,1.6822508033517596,-0.3630391437157779,-0.7172740728816208,1.307982489073492,-0.11374101860818858,-0.20217043381393962,-0.07584596090004486,0.4389978860083241,-0.1461890368232927,-0.18072043055968945,-0.4299571542097303,-0.23400158648091146,-0.33151954378039433,-0.0540212399701705,-0.046838565530404705,-0.07192303485574816,-0.13874139676011668,0.06642819810023617,0.0037560947265501635,-0.16432067687671942,1.0
C360786,40.529973,-112.136459,1.6105638570048253,-0.4597609558861024,-0.8601748303465869,3.400677289936708,0.8045261797042548,-0.22010988788258168,0.05140832170504003,1.2999887719516425,-0.1461890368232927,-0.18072043055968945,-0.43870870574649173,-0.23383706560460085,-0.3318142686635602,-0.05214848682429554,-0.035502442601089715,-0.1022280200481362,0.055394727529772494,-0.1750685503063126,-0.010527941206661411,0.38615426427132976,1.0
